127.0.0.1 - - [03/Apr/2019:17:11:17 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:11:19 +0530] "GET /ORSproject04/ HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:11:26 +0530] "GET /ORSproject04/WelcomeCtl HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:11:26 +0530] "GET /ORSproject04/img/customLogo.jpg HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:13:33 +0530] "GET /ORSproject04/WelcomeCtl HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:13:33 +0530] "GET /ORSproject04/img/rays.png HTTP/1.1" 200 62260
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:13:39 +0530] "GET /ORSproject04/WelcomeCtl HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:13:44 +0530] "GET /ORSproject04/WelcomeCtl HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:13:48 +0530] "GET /ORSproject04/LoginCtl HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:13:50 +0530] "POST /ORSproject04/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:13:50 +0530] "GET /ORSproject04/UserRegistrationCtl HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:14:51 +0530] "GET /ORSproject04/LoginCtl HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:14:51 +0530] "GET /ORSproject04/img/rays.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:15:00 +0530] "POST /ORSproject04/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:15:00 +0530] "GET /ORSproject04/UserRegistrationCtl HTTP/1.1" 200 4122
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:15:00 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:15:00 +0530] "GET /ORSproject04/img/cal.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [03/Apr/2019:17:16:06 +0530] "POST /project04/LoginCtl HTTP/1.1" 404 1096
