127.0.0.1 - - [06/May/2019:17:01:06 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/May/2019:17:01:36 +0530] "GET /ORSproject04/ HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [06/May/2019:17:01:39 +0530] "GET /ORSproject04/img/rays.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:01:58 +0530] "GET /ORSproject04/WelcomeCtl HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:03 +0530] "GET /ORSproject04/LoginCtl HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:08 +0530] "POST /ORSproject04/LoginCtl HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:12 +0530] "GET /ORSproject04/LoginCtl?operation=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:13 +0530] "GET /ORSproject04/LoginCtl HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:15 +0530] "POST /ORSproject04/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:15 +0530] "GET /ORSproject04/UserRegistrationCtl HTTP/1.1" 200 4891
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:16 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:47 +0530] "GET /ORSproject04/LoginCtl HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:49 +0530] "POST /ORSproject04/LoginCtl HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:55 +0530] "GET /ORSproject04/ctl/FacultyCtl HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:55 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:02:55 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:03:40 +0530] "GET /ORSproject04/ctl/StudentListCtl HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [06/May/2019:17:03:48 +0530] "GET /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [06/May/2019:17:03:48 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:05 +0530] "POST /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:05 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:09 +0530] "POST /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:09 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:10 +0530] "POST /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:10 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:11 +0530] "POST /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:11 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:12 +0530] "POST /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:12 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:20 +0530] "POST /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 200 6693
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:20 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:35 +0530] "POST /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:35 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:37 +0530] "POST /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:37 +0530] "GET /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:37 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:41 +0530] "POST /ORSproject04/ctl/FacultyListCtl HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [06/May/2019:17:05:41 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
